Timestamp,CPU%,MemoryFree(MB)
2026-01-24 16:16:04,30.7,15
2026-01-24 16:16:05,269,14
2026-01-24 16:16:06,267.4,13
2026-01-24 16:16:07,259.9,11
2026-01-24 16:16:08,284.8,13
2026-01-24 16:16:09,343,12
2026-01-24 16:16:10,307.3,15
2026-01-24 16:16:11,330.4,9
2026-01-24 16:16:12,395,11
2026-01-24 16:16:14,392.7,13
2026-01-24 16:16:15,407.7,13
2026-01-24 16:16:16,401,6
2026-01-24 16:16:17,442.8,12
2026-01-24 16:16:18,398.7,7
2026-01-24 16:16:19,331.7,12
2026-01-24 16:16:20,410.6,12
2026-01-24 16:16:21,398.1,12
2026-01-24 16:16:22,444.5,8
2026-01-24 16:16:23,444.7,14
2026-01-24 16:16:24,447.3,11
2026-01-24 16:16:25,455.8,11
2026-01-24 16:16:26,421.3,8
2026-01-24 16:16:27,353.4,14
2026-01-24 16:16:29,392.4,12
2026-01-24 16:16:30,432.6,8
2026-01-24 16:16:31,332.6,7
